T28,Research and development (R&D) expenditure and researchers (full time equivalent),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
21,Northern America,2015,Researchers per million inhabitants (FTE),"3,925.20",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
21,Northern America,2022,Gross domestic expenditure on R&D: as a percentage of GDP,3.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
21,Northern America,2022,Researchers per million inhabitants (FTE),"4,883.50",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
419,Latin America & the Caribbean,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
419,Latin America & the Caribbean,2005,Researchers per million inhabitants (FTE),385.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
419,Latin America & the Caribbean,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
419,Latin America & the Caribbean,2010,Researchers per million inhabitants (FTE),453.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
419,Latin America & the Caribbean,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
419,Latin America & the Caribbean,2015,Researchers per million inhabitants (FTE),545,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
419,Latin America & the Caribbean,2022,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
419,Latin America & the Caribbean,2022,Researchers per million inhabitants (FTE),643.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
143,Central Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
143,Central Asia,2005,Researchers per million inhabitants (FTE),457.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
143,Central Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
143,Central Asia,2010,Researchers per million inhabitants (FTE),393.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
143,Central Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
143,Central Asia,2015,Researchers per million inhabitants (FTE),499.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
143,Central Asia,2022,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
143,Central Asia,2022,Researchers per million inhabitants (FTE),489.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
30,Eastern Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
